«БИРИМДИК»,«МЕКЕНЧИЛ»,«ЫЙМАН НУРУ»,«МЕКЕНИМ КЫРГЫЗСТАН»,«РЕФОРМА» партиясы,«АТА МЕКЕН» саясий социалисттик партиясы,«ЗАМАНДАШ»,«БҮТҮН КЫРГЫЗСТАН» саясий партиясы,СОЦИАЛ-ДЕМОКРАТТАР,«МЕКЕН ЫНТЫМАГЫ»,«АФГАНИСТАН СОГУШУНУН АРДАГЕРЛЕРИ ЖАНА УШУЛ СЫЯКТУУ КАГЫШУУЛАРГА КАТЫШКАНДАРДЫН САЯСИЙ ПАРТИЯСЫ»,«ОРДО»,«БИР БОЛ»,РЕСПУБЛИКА,«КЫРГЫЗСТАН»,«ЧОҢ КАЗАТ»,БААРЫНА КАРШЫ,total,form2_percent,level_one
83.00000000000001,51.0,74.99999999999999,136.99999999999997,42.99999999999999,40.0,42.0,61.0,42.99999999999999,16.0,0.0,2.0,54.99999999999999,64.0,124.0,40.0,48.00000000000001,924.0,117.10945802337937,БИШКЕК Г.
171.0,88.0,76.00000000000001,287.00000000000006,61.0,64.99999999999999,22.999999999999996,100.00000000000001,62.0,14.000000000000002,1.0,0.0,19.000000000000004,104.00000000000001,14.000000000000002,54.00000000000001,30.999999999999996,1170.0,106.64983164983164,БИШКЕК Г.
181.0,45.00000000000001,46.99999999999999,60.99999999999999,97.0,46.99999999999999,17.000000000000004,46.99999999999999,74.0,9.0,4.0,1.9999999999999993,29.999999999999996,105.0,22.999999999999996,55.0,41.0,885.0,59.44444444444444,БИШКЕК Г.
310.00000000000006,151.0,108.0,234.0,69.00000000000001,70.99999999999999,15.0,95.0,51.0,22.0,0.9999999999999999,0.9999999999999999,42.0,90.0,16.999999999999996,50.0,54.0,1381.0,120.3281027104137,БИШКЕК Г.
114.0,115.00000000000001,107.00000000000001,249.0,49.00000000000002,78.99999999999999,8.0,129.0,56.00000000000002,7.000000000000001,6.0,4.999999999999999,15.999999999999998,75.0,12.0,22.0,47.0,1096.0,74.77797513321492,БИШКЕК Г.
106.0,85.0,26.0,54.0,72.99999999999999,27.0,30.999999999999996,73.99999999999999,47.00000000000001,5.0,2.9999999999999996,1.0,11.999999999999998,94.00000000000001,9.000000000000002,22.0,42.00000000000001,711.0,32.5068870523416,БИШКЕК Г.
416.0,54.99999999999999,44.0,72.0,62.00000000000001,65.99999999999999,28.999999999999996,76.0,83.0,11.999999999999995,4.0,2.9999999999999996,18.0,98.0,8.0,56.99999999999999,48.99999999999999,1152.0,59.94854202401372,БИШКЕК Г.
90.00000000000004,84.00000000000001,37.00000000000001,76.99999999999999,58.0,27.99999999999999,11.0,94.99999999999999,35.00000000000001,8.999999999999998,1.0,0.0,6.999999999999999,49.00000000000001,5.0,65.00000000000001,26.999999999999996,678.0,1.585014409221902,БИШКЕК Г.
304.00000000000006,56.00000000000001,49.0,68.0,63.99999999999999,44.0,12.999999999999998,111.0,54.0,7.0,1.9999999999999998,3.0,35.99999999999999,105.0,14.0,43.0,55.00000000000001,1028.0,49.23954372623574,БИШКЕК Г.
201.00000000000003,48.0,30.999999999999996,153.00000000000003,17.0,42.0,5.000000000000001,77.0,29.99999999999999,3.0,2.0,9.000000000000002,61.99999999999999,61.99999999999999,70.99999999999999,8.0,16.0,837.0,106.6820276497696,БИШКЕК Г.
226.99999999999991,77.99999999999999,65.0,119.0,48.0,62.0,10.999999999999998,137.00000000000003,84.99999999999999,8.0,2.0000000000000004,2.0000000000000004,37.00000000000001,99.0,18.0,68.0,49.0,1115.0,32.62411347517731,БИШКЕК Г.
247.00000000000003,65.0,57.99999999999999,357.0,30.0,52.99999999999998,6.0,65.99999999999999,46.99999999999999,2.0,5.0,1.0,41.0,68.99999999999999,31.0,45.00000000000001,32.0,1155.0,69.2504258943782,БИШКЕК Г.
113.00000000000001,87.0,53.00000000000001,249.00000000000003,49.99999999999999,58.00000000000001,11.000000000000002,83.0,69.00000000000001,19.000000000000004,5.000000000000001,0.9999999999999999,96.0,69.00000000000001,13.0,70.00000000000001,44.00000000000002,1090.0,29.272727272727273,БИШКЕК Г.
125.0,143.99999999999997,44.99999999999999,139.99999999999997,40.0,59.0,36.0,105.0,58.0,10.0,4.999999999999999,6.0,33.00000000000001,107.99999999999996,179.99999999999997,51.00000000000001,61.0,1206.0,62.197092084006464,БИШКЕК Г.
56.0,100.00000000000001,63.99999999999999,218.99999999999997,57.00000000000001,63.99999999999999,14.0,104.00000000000001,63.99999999999999,8.0,3.0,4.0,76.0,87.99999999999999,152.0,52.00000000000001,35.0,1160.0,73.77326565143824,БИШКЕК Г.
183.99999999999997,110.0,86.0,95.99999999999999,68.99999999999999,107.99999999999999,65.0,90.00000000000001,83.00000000000001,21.0,5.999999999999999,8.0,12.999999999999998,129.0,105.99999999999999,78.0,61.99999999999999,1314.0,7.524454477050415,БИШКЕК Г.
141.0,120.00000000000001,100.99999999999999,127.0,56.0,110.0,74.0,85.0,85.0,16.0,1.0,2.0,9.000000000000002,163.0,114.0,100.0,55.0,1359.0,17.779390420899855,БИШКЕК Г.
180.0,105.0,82.0,130.0,50.00000000000002,106.0,32.0,114.0,63.0,20.0,1.0,2.0,16.0,146.00000000000003,10.0,97.99999999999999,40.99999999999999,1196.0,14.987714987714988,БИШКЕК Г.
104.0,91.99999999999999,64.99999999999999,198.0,85.00000000000001,103.0,69.99999999999999,67.00000000000001,95.99999999999999,30.0,2.0,6.0,34.99999999999999,159.99999999999997,23.0,103.0,63.99999999999998,1303.0,14.480667172100075,БИШКЕК Г.
